"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 13:01:05 GMT 2021","Thu Aug 19 13:01:08 GMT 2021","2894","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Thu Aug 19 13:01:03 GMT 2021","Thu Aug 19 13:01:05 GMT 2021","2565","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"skipped","Thu Aug 19 13:01:20 GMT 2021","Thu Aug 19 13:01:20 GMT 2021","1","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Thu Aug 19 13:01:08 GMT 2021","Thu Aug 19 13:01:12 GMT 2021","3809","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Thu Aug 19 13:01:12 GMT 2021","Thu Aug 19 13:01:15 GMT 2021","3384","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Thu Aug 19 13:00:57 GMT 2021","Thu Aug 19 13:01:00 GMT 2021","2551","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Thu Aug 19 13:01:16 GMT 2021","Thu Aug 19 13:01:19 GMT 2021","3747","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Thu Aug 19 13:00:55 GMT 2021","Thu Aug 19 13:00:57 GMT 2021","2359","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Thu Aug 19 13:01:00 GMT 2021","Thu Aug 19 13:01:03 GMT 2021","2579","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Thu Aug 19 13:00:46 GMT 2021","Thu Aug 19 13:00:54 GMT 2021","8030","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Thu Aug 19 13:01:20 GMT 2021","Thu Aug 19 13:01:23 GMT 2021","3530","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
